iteration	loss	n_p	w_0	w_1	c	ID	y	mean	mean_prob	mode	mode_prob	lb	ub	capture
114	0.76	2	-1.5367768619129405	-5.317498984809771	1.6668746767876397	4J1Q_A	8.5	7.267	0.191	8.5	2.797	4.918	8.578	1
115	0.764	14	-1.5376407980179734	-5.325278011500713	1.660396943759636	5JGQ_B	7.9	7.293	0.074	7.9	2.764	5.943	8.518	1
116	0.634	17	-1.5390060250405777	-5.337295646753388	1.6505037770854811	2GER_E	7.5	7.489	4.165	7.5	4.274	6.433	8.528	1
117	0.988	1689	-1.539019181594694	-5.337372807053477	1.649672504605634	1LK3_M	4.6	6.76	0.244	7.46	0.294	4.134	9.02	1
118	0.983	132	-1.539035874445278	-5.337439725780633	1.6487886151716533	6Z1M_C	5.6	6.816	0.383	6.93	0.388	4.596	8.799	1
119	0.77	19	-1.5398854537338946	-5.34484123054898	1.6423348565169325	2YXN_A	7.5	6.83	0.102	7.5	2.661	4.558	8.162	1
120	0.844	285	-1.5403781022954082	-5.349172268286132	1.6383026033455048	6NTL_B	7.0	6.517	0.402	7.0	1.741	4.838	8.013	1
121	0.565	4	-1.5419713906620187	-5.363529068882493	1.6268476055777579	3GO2_A	4.8	5.94	0.05	4.8	5.165	4.723	8.538	1
122	0.75	2	-1.5428617297360736	-5.3715299917345956	1.620102889508695	3MQ3_A	7.3	7.367	1.117	7.3	2.95	5.463	8.138	1
123	0.618	48	-1.544282712313781	-5.384273187972482	1.609715357497681	6VKD_F	9.5	7.929	0.021	9.5	4.53	4.504	9.552	1
124	0.781	310	-1.5450413545495723	-5.391076479061238	1.6038300655523583	6U0D_A	7.5	7.396	0.336	7.5	2.619	5.527	8.534	1
125	0.631	1	-1.5463848129884303	-5.403167037984986	1.5938959176582694	7CFG_A	4.0	5.4	0.086	4.0	4.416	3.935	8.438	1
126	0.936	11	-1.5466063111774522	-5.4051794434332985	1.591728337701413	6NDL_A	8.5	7.442	2.508	7.5	6.149	6.913	8.498	0
127	0.973	140	-1.5466544346102482	-5.4057826540832865	1.5908452721029782	7K71_A	9.75	7.619	0.285	6.93	0.345	5.803	9.757	1
128	0.984	347	-1.5464884876065323	-5.404297148703648	1.591385007490954	4WLR_C	6.6	6.758	0.183	7.5	1.218	4.41	8.57	1
129	1.0	0	-1.5464884876065323	-5.404297148703648	1.591385007490954	3WEE_B	10.5	6.8	0.311	6.8	0.311	4.693	8.907	0
130	0.967	439	-1.5465825183625697	-5.405083043045607	1.5901046513580854	1YT9_B	4.6	5.733	0.121	5.49	1.104	4.41	7.455	1
131	0.975	439	-1.5465586091460373	-5.404908492127697	1.5896540934554955	5IVR_B	5.25	5.732	0.12	5.5	1.111	4.411	7.449	1
132	0.83	4	-1.5470924706335076	-5.409735978170075	1.5852879225992993	1PN4_D	7.0	7.16	0.194	7.0	2.022	5.123	9.532	1
133	0.851	51	-1.5470483231581786	-5.40929147555949	1.5849481958749785	4UCM_A	5.6	5.636	1.002	5.5	3.067	3.285	8.041	1
134	0.892	255	-1.5473580608513748	-5.412255059597808	1.582206207718336	6AV7_D	6.5	6.344	0.217	6.0	1.367	5.336	7.532	1
135	0.993	5	-1.5472715773534667	-5.411726976757053	1.5822360575406662	5JIF_B	8.0	5.667	0.036	3.6	0.932	3.442	7.838	0
136	0.895	8	-1.5476587720775812	-5.414809134783813	1.578805255711284	2DFE_A	8.5	7.5	0.079	6.5	2.131	5.793	9.612	1
137	0.975	435	-1.5476666956504903	-5.414855874464001	1.5781508862256282	6O57_B	4.6	5.728	0.38	5.49	0.52	4.342	7.465	1
138	0.988	1	-1.5476666956504903	-5.414855874464001	1.5775568344308581	1OLL_A	7.8	7.0	0.154	7.2	4.885	5.153	8.438	1
139	0.94	128	-1.5479012058947805	-5.416805095817283	1.575297825097478	2H9T_L	8.5	7.169	0.249	7.5	2.817	4.736	8.624	1
140	0.882	53	-1.5483425533471409	-5.42062967559267	1.5715837928982945	7QCG_A	8.0	6.716	0.035	6.0	1.561	4.5	8.478	1
141	1.0	41	-1.5483392352421224	-5.420610748354768	1.5710299289667031	1D4Z_A	4.8	7.339	0.047	8.4	1.829	5.193	8.438	0
142	0.743	23	-1.5492272365906572	-5.428699773744837	1.5641688357865051	7PTZ_AAA	3.5	4.7	0.007	3.5	3.188	3.451	7.558	1
143	1.0	0	-1.5492272365906572	-5.428699773744837	1.5641688357865051	3R1H_F	6.0	6.8	0.311	6.8	0.311	4.693	8.908	1
144	1.0	0	-1.5492272365906572	-5.428699773744837	1.5641688357865051	5T8V_A	5.2	6.8	0.311	6.8	0.311	4.693	8.908	1
145	0.959	2	-1.5493549504196482	-5.429168154506182	1.562489014720478	4Q20_B	7.5	7.067	0.439	7.16	0.442	5.363	8.598	1
146	0.95	691	-1.5491459959316005	-5.4270824042155885	1.5633628583780868	4ZFP_A	4.4	4.905	0.105	4.5	2.292	3.473	7.588	1
147	0.99	2	-1.5491459959316005	-5.4270824042155885	1.5627983889722261	5T9F_B	6.5	5.433	0.968	5.5	3.211	3.95	8.128	1
148	0.979	102	-1.5490015236805519	-5.425845919590165	1.5632666413307161	5JL4_B	5.5	6.629	0.175	6.5	2.464	4.593	8.048	1
149	0.839	47	-1.5495592351170955	-5.430910983063924	1.5587369121308612	5OK2_A	7.2	7.377	0.271	7.5	5.454	6.143	8.468	1
150	0.993	2	-1.5495592351170955	-5.430910983063924	1.5581816852107875	5AYS_D	5.6	7.5	0.089	7.2	3.329	5.463	8.558	1
151	0.343	44	-1.5518115158747883	-5.451413505572549	1.541546047001669	3BUP_A	7.0	7.049	4.057	7.0	8.148	6.923	7.418	1
152	0.985	1	-1.5518115158747883	-5.451413505572549	1.5410252112185614	1C5E_C	6.5	7.65	0.125	8.5	5.063	5.153	8.578	1
153	1.0	15	-1.5518115158747883	-5.451413505572549	1.540505327449382	5V7S_C	3.2	6.45	0.019	4.0	1.546	3.964	10.23	0
154	0.661	17	-1.552960363090259	-5.461675363534792	1.5316655956861978	1SFH_B	5.5	5.667	0.153	5.5	4.06	4.286	7.968	1
155	0.586	1	-1.5542746524281346	-5.473707721151143	1.521592611192353	4XGJ_A	7.5	7.15	0.15	7.5	5.208	5.153	8.438	1
156	0.623	1	-1.5556853279173595	-5.486136575479401	1.510738224571899	4DIP_J	7.2	7.0	0.154	7.2	4.444	5.153	8.438	1
157	0.771	3	-1.5560248193253245	-5.489233729529661	1.5077660573326435	5NHI_B	5.0	5.325	0.04	4.99	2.64	4.551	7.878	1
158	0.997	233	-1.55603699754905	-5.489340333638887	1.5072222210070558	1GKO_D	8.5	6.494	0.237	7.51	1.691	4.569	7.978	0
159	0.958	1784	-1.55617133736381	-5.490368483453319	1.505749290051899	3BKJ_L	6.5	6.764	0.194	7.5	0.482	4.138	9.003	1
160	0.878	6	-1.5565191742266435	-5.493653191636599	1.5027322657700086	1AUV_B	7.25	7.593	0.594	7.5	2.87	6.303	8.769	1
