iteration	loss	n_p	w_0	w_1	c	ID	y	mean	mean_prob	mode	mode_prob	lb	ub	capture
139	0.963	694	-3.000796824213643	-1.029284191278774	1.9100485083901437	4M3K_B	7.5	6.648	0.194	6.81	0.194	3.24	9.93	1
140	1.0	0	-3.000796824213643	-1.029284191278774	1.9100485083901437	2Z7F_I	4.5	6.8	0.311	6.8	0.311	4.693	8.908	0
141	0.942	14	-3.0008331327354623	-1.0306571835612972	1.8961722029619383	1TWE_A	7.4	7.16	0.276	7.58	0.293	4.085	9.422	1
142	0.978	9	-3.000839432121362	-1.0309032921014918	1.8838165163045795	1UYP_F	4.2	6.65	0.172	6.77	0.173	3.035	10.446	1
143	0.958	181	-3.0008532864795345	-1.0313759544466063	1.8711161617988952	6ISJ_A	8.5	7.531	0.236	7.68	0.237	4.759	10.19	1
144	1.0	0	-3.0008532864795345	-1.0313759544466063	1.8711161617988952	3KXR_A	8.2	6.8	0.311	6.8	0.311	4.693	8.908	1
145	0.97	44	-3.0008560270016957	-1.031444078191158	1.8589939865493683	4YB4_D	8.5	6.95	0.192	7.04	0.192	3.522	10.35	1
146	0.937	5	-3.000903045985193	-1.0332416640053725	1.8457566998714976	1ISI_B	4.5	4.967	0.305	4.66	0.315	2.885	7.538	1
147	1.0	0	-3.000903045985193	-1.0332416640053725	1.8457566998714976	2QSW_A	6.9	6.8	0.311	6.8	0.311	4.693	8.908	1
148	0.938	589	-3.0009402938947463	-1.034657779880762	1.8331018562523818	2GEH_A	7.75	7.946	0.315	8.05	0.316	5.618	10.08	1
149	0.988	4	-3.000927048201247	-1.034152160799253	1.8225412860080035	5CFU_A	4.5	6.82	0.307	6.83	0.307	4.733	8.887	0
150	0.927	4	-3.000976751560338	-1.0360470314181738	1.809898151527029	4FFM_A	6.5	6.56	0.362	6.54	0.362	4.743	8.398	1
151	0.957	5	-3.0009919205116518	-1.0366219460721484	1.7987595460106824	1OD7_A	5.6	6.433	0.203	5.76	0.214	3.747	9.273	1
152	1.0	0	-3.0009919205116518	-1.0366219460721484	1.7987595460106824	4FLE_A	7.5	6.8	0.311	6.8	0.311	4.693	8.908	1
153	1.0	0	-3.0009919205116518	-1.0366219460721484	1.7987595460106824	5YTK_L	6.2	6.8	0.311	6.8	0.311	4.693	8.908	1
154	0.966	879	-3.0009953052246385	-1.036705202423556	1.7879708838325086	6OAO_L	6.0	6.635	0.176	6.79	0.177	2.927	10.22	1
155	0.955	21	-3.0010075210970677	-1.0370983887543883	1.7769497238110838	2ZAO_A	6.0	6.514	0.23	6.42	0.23	3.589	9.514	1
156	0.942	312	-3.0010363526592188	-1.0381781521614686	1.7658911486584854	5Z1T_A	7.5	7.386	0.285	7.58	0.288	4.873	9.617	1
157	0.959	25	-3.001039892218969	-1.038259108848667	1.7554618505631723	4OOF_B	6.5	6.785	0.204	6.71	0.204	3.58	10.057	1
158	0.939	16	-3.0010726980393536	-1.0394145761410611	1.7444887775968365	6FPK_A	6.2	6.265	0.304	6.23	0.304	4.122	8.44	1
159	0.95	354	-3.0010925048742343	-1.040156684315454	1.7343858629980184	6WNP_A	6.0	6.695	0.274	6.6	0.274	4.245	9.19	1
160	0.96	1	-3.0010917830188752	-1.0401507374908356	1.7255664621667934	1DXY_A	7.0	5.7	0.2	6.38	0.216	2.311	8.538	1
161	0.943	17	-3.0011245554715753	-1.0413887067931111	1.7153994394751093	1SF5_A	5.0	5.694	0.301	5.44	0.308	3.552	8.184	1
162	0.94	83	-3.0011597254261555	-1.0426821694419282	1.7051261811596363	5VL0_D	6.7	7.099	0.306	6.97	0.308	4.906	9.381	1
163	0.969	26	-3.001152127492064	-1.0423942519503633	1.6969430100043563	1TFZ_A	7.3	7.052	0.124	8.4	0.245	3.559	9.826	1
164	0.978	3	-3.001138295956807	-1.0418693892076336	1.6891681658023163	6EHF_A	8.2	6.825	0.183	6.4	0.191	3.632	10.331	1
165	0.962	48	-3.0011346301425164	-1.0417314627111118	1.6811580143330038	2R1V_B	6.5	7.571	0.317	7.75	0.321	5.236	9.603	1
166	0.96	724	-3.001140581624521	-1.0418761080946448	1.6722615195697714	3FQH_B	7.5	6.933	0.206	7.06	0.207	3.65	10.06	1
167	0.97	22	-3.0011406566193055	-1.0418616087209718	1.6641778590239902	3O4F_H	7.5	6.161	0.187	6.06	0.187	2.704	9.746	1
168	0.994	680	-3.001136357927956	-1.0417296688139428	1.656847673177002	6CWG_D	10.5	6.644	0.2	6.82	0.201	3.354	9.81	0
169	0.957	4	-3.001140496461581	-1.041837216203671	1.648792122660508	7SHI_B	7.0	7.86	0.223	7.6	0.226	5.073	10.874	1
170	0.947	108	-3.0011646576414566	-1.0426828924853413	1.6399355222828824	2ONO_H	6.6	6.556	0.262	6.55	0.262	3.605	9.44	1
171	1.0	0	-3.0011646576414566	-1.0426828924853413	1.6399355222828824	2G64_A	7.0	6.8	0.311	6.8	0.311	4.693	8.908	1
172	0.939	172	-3.001201321707311	-1.0440685539836874	1.6312480513292051	1Z6S_B	5.5	5.727	0.293	5.43	0.302	3.464	8.571	1
173	0.977	5	-3.0012019226798983	-1.0440879159341088	1.6242149776792023	6XNS_F	5.0	6.033	0.164	6.93	0.183	1.471	9.504	1
174	1.0	0	-3.0012019226798983	-1.0440879159341088	1.6242149776792023	1A7J_A	5.0	6.8	0.311	6.8	0.311	4.693	8.908	1
175	0.96	255	-3.0012117722859775	-1.0444279476667533	1.6167933377938513	1TC6_B	8.0	6.846	0.237	7.05	0.239	3.979	9.547	1
176	0.952	709	-3.0012282577980147	-1.0449511142207881	1.6084973871095696	6LFH_X	4.5	4.905	0.235	4.58	0.241	2.01	8.279	1
177	0.965	4	-3.001256155842708	-1.0460116424395112	1.6008052210197425	4LIV_A	4.2	6.32	0.124	7.76	0.193	3.296	9.289	1
178	0.954	101	-3.001270823630067	-1.046464563458482	1.5932806275547895	6ZAT_A	5.0	5.442	0.223	5.09	0.229	2.64	8.626	1
179	0.96	100	-3.0012746659179976	-1.0465315890174536	1.5860784871962421	3QZE_D	7.6	7.581	0.201	7.64	0.202	4.301	10.84	1
180	0.926	1	-3.001315590228916	-1.0480783778810834	1.5782604727490348	2WZK_A	7.0	6.9	0.37	6.95	0.371	5.023	8.708	1
181	0.969	27	-3.001316286657496	-1.0481038405063539	1.5722365329447798	5JI2_F	5.5	6.921	0.247	7.18	0.25	3.99	9.692	1
182	0.993	57	-3.0013170850338327	-1.048141811867289	1.566486116177249	1I09_B	4.1	7.115	0.323	7.23	0.325	4.436	9.35	0
183	0.979	33	-3.001321240603274	-1.048312075760091	1.5606800385907023	3ROK_B	4.0	6.178	0.263	6.41	0.268	3.414	8.699	1
184	0.954	27	-3.0013287436339042	-1.0485929796785332	1.554707548799642	2FQG_A	5.6	5.582	0.23	4.85	0.283	3.112	8.994	1
185	0.923	11	-3.001386285261179	-1.0507742307965524	1.5467915665020633	3N23_G	6.2	6.483	0.387	6.38	0.389	4.827	8.246	1
186	0.915	13	-3.001463949871182	-1.0536976530796411	1.5381214693213479	1DZU_P	8.0	7.879	0.42	7.95	0.422	6.213	9.436	1
187	1.0	0	-3.001463949871182	-1.0536976530796411	1.5381214693213479	4HY3_D	7.0	6.8	0.311	6.8	0.311	4.693	8.908	1
