Column1	Column2
tris base	tris
triscl	tris
tris chloride	tris
tris acetate	tris acetate
tris/bicine	tris bicine
tris bicine	tris bicine
bicine/tris	tris bicine
trypsin	trypsin
tryptone	tryptone
urea	urea
xylitol	xylitol
ybcl3	ytterbium chloride
zinc acetate	zinc acetate
zn acetate	zinc acetate
zncl2	zinc chloride
zinc chloride	zinc chloride
zn sulfate	zinc sulfate
znso4	zinc sulfate
zinc sulfate	zinc sulfate
zinc sulphate	zinc sulfate
