iteration	loss	n_i	w_0	w_1	ID	y	yhat
177	-0.010979916011255158	458	-1.0358941931013732	2.9911599382276797	6JGI_A	0.0	0.010919856749646168
178	-0.029481940049237265	0	-1.0358941931013732	2.9911599382276797	1OI4_B	0.0	0.029051587236620224
179	-0.029481940049237265	0	-1.0358941931013732	2.9911599382276797	5DJQ_Q	0.0	0.029051587236620224
180	-0.0022372382319194267	12	-1.0358941931013732	2.9911599382276797	3T0U_C	0.0	0.0022347374797400173
181	-0.005827263013035162	4	-1.0358941931013732	2.9911599382276797	4N5H_X	0.0	0.005810317447324045
182	-0.00018273107944277684	158	-1.0358941931013732	2.9911599382276797	2IOT_A	0.0	0.00018271438513597625
183	-0.00485369133150788	5	-1.0358941931013732	2.9911599382276797	1JYL_D	0.0	0.00484193120610337
184	-0.029481940049237265	0	-1.0358941931013732	2.9911599382276797	4GZ2_D	0.0	0.029051587236620224
185	-0.0012112160275969562	23	-1.0358941931013732	2.9911599382276797	6RQY_B	0.0	0.0012104828015258426
186	-1.5713274224057436	4	-1.0369205263072083	2.9905544588364923	2OJ6_F	1.0	0.2077692017325093
187	-0.40588660967050266	9	-1.0441740578093222	2.9886421692656797	2NOM_B	1.0	0.6663857248379771
188	-0.2049404119091118	9	-1.042260274730422	2.989141487816369	5TXF_D	0.0	0.18530413886392394
189	-0.01926625461802341	97	-1.042083047530524	2.9892277881837557	5EEC_B	0.0	0.019081846517937862
190	-0.00047636897415424557	60	-1.042083047530524	2.9892277881837557	6ARF_D	0.0	0.000476255528469184
191	-0.01648342880258015	894	-1.0420616581894082	2.989220582345258	1JQH_C	0.0	0.016348320458210476
192	-0.004158862841899563	6	-1.0420616581894082	2.989220582345258	1KA1_A	0.0	0.004150226748088603
193	-0.0004612426613868999	62	-1.0420616581894082	2.989220582345258	7K3I_A	0.0	0.0004611363053431781
194	-0.07608761089974099	161	-1.041165647290449	2.989312689659634	2V2H_C	0.0	0.07326498908550524
195	-0.02661704214954595	103	-1.0409711233489483	2.989359918476064	6FK1_A	0.0	0.02626593076280044
196	-0.005827263013035162	4	-1.0409711233489483	2.989359918476064	5Y8M_B	0.0	0.005810317447324045
197	-0.00029648871615650776	97	-1.0409711233489483	2.989359918476064	7KZ2_F	0.0	0.0002964447677206145
198	-0.01834007012143046	460	-1.040863332875215	2.9893765217917343	1GJ8_B	0.0	0.018172914477348763
199	-0.03174138130534216	194	-1.0408931384802764	2.989359728665147	5MOT_A	0.0	0.031242911621367664
200	-0.48205350864316304	7	-1.041363041578172	2.98932143243716	7CG9_A	0.0	0.38248598145662754
201	-0.0015302010679082057	18	-1.041363041578172	2.98932143243716	5LTQ_P	0.0	0.001529030907190538
202	-0.001615280932817002	17	-1.041363041578172	2.98932143243716	4KN0_A	0.0	0.0016139770687011235
203	-0.014632325860560347	1	-1.041363041578172	2.98932143243716	1V70_A	0.0	0.014525793618310112
204	-0.014632325860560347	1	-1.041363041578172	2.98932143243716	1OBA_A	0.0	0.014525793618310112
205	-0.005833874474958739	728	-1.0413812737218313	2.9893169671217033	6G8A_C	0.0	0.005816890472826368
206	-0.004158862841899563	6	-1.0413812737218313	2.9893169671217033	7T5G_B	0.0	0.004150226748088603
207	-0.052505423375321325	78	-1.0413920649634985	2.989313469521177	5HGK_B	0.0	0.05115082492335271
208	-0.029481940049237265	0	-1.0413920649634985	2.989313469521177	1ZZM_A	0.0	0.029051587236620224
209	-0.009731055931999707	2	-1.0413920649634985	2.989313469521177	5FCC_B	0.0	0.00968386241220674
210	-0.004158862841899563	6	-1.0413920649634985	2.989313469521177	4R1M_D	0.0	0.004150226748088603
211	-0.009731055931999707	2	-1.0413920649634985	2.989313469521177	5LVW_A	0.0	0.00968386241220674
212	-0.00485369133150788	5	-1.0413920649634985	2.989313469521177	5YN5_B	0.0	0.00484193120610337
213	-0.00035435042392357134	81	-1.0413920649634985	2.989313469521177	2DSH_B	0.0	0.0003542876492270759
214	-0.00040357569289099527	71	-1.0413920649634985	2.989313469521177	5LAV_A	0.0	0.0004034942671752809
215	-0.0014536353779875724	19	-1.0413920649634985	2.989313469521177	5DRE_A	0.0	0.0014525793618310112
216	-0.014632325860560347	1	-1.0413920649634985	2.989313469521177	3KRM_C	0.0	0.014525793618310112
217	-0.009731055931999707	2	-1.0413920649634985	2.989313469521177	4DQJ_B	0.0	0.00968386241220674
218	-0.014632325860560347	1	-1.0413920649634985	2.989313469521177	3NXH_A	0.0	0.014525793618310112
219	-0.00031243146008433744	92	-1.0413920649634985	2.989313469521177	5FLK_A	0.0	0.000312382658458282
