iteration	loss	n_p	w_0	w_1	ID	y	yhat
177	-0.31107030208610736	1	-1.1219197464124953	2.979166786706367	5G51_A	0.0	0.2673376336340269
178	-0.5851947706199941	633	-1.1213777922514694	2.9790959500496053	3DKO_A	1.0	0.5569973645244514
179	-0.62611100350748	0	-1.1213777922514694	2.9790959500496053	4CAD_L	1.0	0.5346670814164797
180	-0.9004084284142964	15	-1.1219008075589596	2.9787964995030554	1AJ5_B	0.0	0.5935963609547372
181	-2.61931752059432	589	-1.1247892103372688	2.977978798666305	1Z93_A	1.0	0.07285256624083863
182	-0.5208941865650375	10	-1.1247803185040686	2.9779798488190465	4GAM_S	1.0	0.5939891732930153
183	-0.4990091041965743	337	-1.1264012852687826	2.9775777383675655	5XKU_C	1.0	0.6071319662648607
184	-0.3064472890902879	76	-1.12661710757087	2.977462799293419	5KBN_D	1.0	0.7360573154075278
185	-0.44227759057824595	152	-1.1276573488189372	2.977514171372902	5IH9_A	1.0	0.6425712389742945
186	-0.7644437174697136	8	-1.1382184072990942	2.9771417929323296	7VC7_A	1.0	0.4655928601230678
187	-0.31615611379787656	75	-1.1391544535541285	2.9769576233226784	5LQA_A	0.0	0.2710543571883392
188	-0.5510402933976027	71	-1.1393351865539603	2.9768536456389048	6MPY_B	0.0	0.4236500746156997
189	-0.8443883977563694	10	-1.142968878952102	2.976889325980311	5GVR_A	0.0	0.5701798431892963
190	-2.3698709056086726	14	-1.1354288527845628	2.9801450575678685	3I95_A	1.0	0.09349279489449674
191	-0.42689134739963963	9	-1.135295415574249	2.9802208344330268	5OSY_B	1.0	0.6525344479409224
192	-0.5510872050668468	71	-1.1354641613828709	2.9801257445798846	5SX1_B	0.0	0.4236771115185901
193	-1.1916169938253616	7	-1.1310301017627846	2.9814575113191926	5V74_Z9	1.0	0.3037297376658403
194	-0.3039290818048167	152	-1.1295546108893182	2.981792755172797	4BUT_B	1.0	0.7379131960670753
195	-0.36570619737289217	1862	-1.1302841313470904	2.9816051694190704	3EOB_L	1.0	0.6937065840891646
196	-0.31107030208610736	1	-1.1302841313470904	2.9816051694190704	1Q8M_D	0.0	0.2673376336340269
197	-0.6823758724902164	21	-1.1335042859182642	2.9811707979587094	5YEA_B	0.0	0.49458523627314777
198	-1.2202980604192728	12	-1.1403184640766457	2.979531279613645	5L9A_B	0.0	0.7048578163904979
199	-0.14985687010722246	44	-1.1407707700764398	2.979411409470355	5NKN_A	0.0	0.13916882171783973
200	-0.765019767166473	0	-1.1407707700764398	2.979411409470355	1EXJ_M	0.0	0.5346752672680538
201	-0.44979854104959105	17	-1.140829446443177	2.9791552687980563	4UUL_B	1.0	0.6377566204601144
202	-0.34778796268617984	4	-1.1407307042855641	2.9792063099400083	6P8E_C	1.0	0.7062486113975504
203	-0.07945690874538848	6	-1.1407307042855641	2.9792063099400083	1G78_A	0.0	0.0763821810382934
204	-0.5627548273486762	244	-1.1407843841224794	2.979179966143016	3GS0_B	0.0	0.43036235301720843
205	-0.765019767166473	0	-1.1407843841224794	2.979179966143016	1VBY_B	0.0	0.5346752672680538
206	-0.62611100350748	0	-1.1407843841224794	2.979179966143016	4MAA_A	1.0	0.5346670814164797
207	-1.1531008655619353	16	-1.15259803125376	2.976734817893341	5V91_B	1.0	0.3156564420423993
208	-0.44989492634721323	784	-1.1530203241027732	2.976638885429977	5GXB_B	1.0	0.6376951530607652
209	-1.2373800365837375	3	-1.1321032656331154	2.9802253212967185	4KDU_B	0.0	0.7098566119319815
210	-0.31107030208610736	1	-1.1321032656331154	2.9802253212967185	5M3Q_A	0.0	0.2673376336340269
211	-1.4581669477264185	1	-1.1321032656331154	2.9802253212967185	3KDW_A	0.0	0.767337633634027
212	-0.2158005719341469	507	-1.1327086816061274	2.9802256961934175	4XNE_A	1.0	0.8058960041300594
213	-2.1463039827388504	9	-1.1160122277955662	2.9834977730403027	2Z1Z_B	0.0	0.8830845181691511
214	-0.4219282176529594	71	-1.113836961991301	2.9839427065707844	5K7K_A	1.0	0.6557811112112664
215	-0.8165115883936083	97	-1.1096303527500928	2.9850602679140628	1SEJ_E	0.0	0.558029255669964
216	-0.49898347709053514	18	-1.109639354230146	2.9850547864764168	6A6K_C	1.0	0.6071475254995081
217	-0.1505098006931882	10	-1.10961556379407	2.9850692627640782	6L5B_A	0.0	0.13973070126935908
218	-0.1510394702618414	104	-1.1108144780581568	2.9848211805819984	1P63_B	0.0	0.1401862390848341
219	-1.1709332879325742	749	-1.110641972663046	2.984761790157537	5C9K_H	0.0	0.6899225853286144
220	-0.5627420940368789	244	-1.1106969846232295	2.9847345017685885	2H4E_B	0.0	0.43035509959725804
221	-1.6596885398217818	6	-1.0984828048694613	2.988175659402189	5F28_G	1.0	0.19019821004555482
222	-0.765019767166473	0	-1.0984828048694613	2.988175659402189	4HF0_B	0.0	0.5346752672680538
223	-0.6447953412272346	12	-1.102177545279676	2.986954976948183	4USH_C	1.0	0.5247699298871272
224	-1.023301420967928	6	-1.1016243824479377	2.9870608975369874	4OF1_B	1.0	0.35940642744658424
225	-1.3192581840674253	1	-1.1016243824479377	2.9870608975369874	4FEM_A	1.0	0.26733354070823984
226	-0.31107030208610736	1	-1.1016243824479377	2.9870608975369874	3SY3_D	0.0	0.2673376336340269
227	-0.9947400806632665	103	-1.1015195112225065	2.987076265413136	3P60_B	1.0	0.36981955530652144
228	-1.1327470227470484	144	-1.1001059379764695	2.9875442670891426	4EDS_B	0.0	0.6778529055703585
229	-0.62611100350748	0	-1.1001059379764695	2.9875442670891426	3GMG_B	1.0	0.5346670814164797
230	-0.6420423018016019	21	-1.0896570242935686	2.987744628961202	1QI6_D	0.0	0.47378336730531434
231	-1.0723145749959697	16	-1.0936357216439592	2.9866447690347484	3BOM_D	1.0	0.34221551656488447
232	-0.24802883225172767	15	-1.0934130639046127	2.98659158647759	1ZKP_D	1.0	0.7803374440680645
233	-0.503128827781537	106	-1.0945761170162709	2.9864620861634856	3U0L_A	1.0	0.6046358954754056
234	-0.34653613733351274	4	-1.0946067774858705	2.9864434107861957	4ITS_A	1.0	0.7071332649149085
235	-0.13231524924737947	43	-1.094787004068989	2.986345095813593	3K08_B	0.0	0.12393522721804998
